asset_id,name,asset_type,ip_address,location,criticality,dependencies,owner,notes
sis-server,Student Information System (PowerSchool),application,10.0.1.10,Server room admin wing,critical,"[""core-switch"", ""ad-server""]",Tech Jordan,Student records grades attendance. 2400 student records.
lms-server,Learning Management System (Canvas),application,10.0.1.11,Cloud (AWS hosted),high,"[""internet-gateway"", ""ad-server""]",Tech Jordan,Course materials assignments. Teachers and students depend on this daily.
email-system,Google Workspace for Education,application,,Cloud (Google),critical,"[""internet-gateway""]",Tech Jordan,Email drive docs for all staff and students. 2500 accounts.
ad-server,Active Directory / Authentication,server,10.0.1.5,Server room admin wing,critical,"[""core-switch""]",Tech Jordan,All logins depend on this. Single sign-on for SIS LMS and email.
core-switch,Core Network Switch,network,10.0.1.1,Server room admin wing,critical,[],Tech Jordan,All network traffic routes through this. Failure = total network outage.
wifi-controller,WiFi Controller (Aruba),network,10.0.1.3,Server room admin wing,high,"[""core-switch""]",Tech Jordan,Manages all classroom and office WiFi access points.
security-cameras,Security Camera System (Verkada),application,10.0.1.20,Server room admin wing,high,"[""core-switch""]",Security Dave,32 cameras covering entrances hallways parking lot. 30-day retention.
pa-system,PA / Intercom System,infrastructure,,Main office,critical,[],Tech Jordan,Building-wide announcements and emergency alerts. Analog system with digital trigger.
payment-system,Lunch Payment System (PaySchools),application,10.0.1.15,Cafeteria office,medium,"[""core-switch"", ""internet-gateway""]",Cafeteria Rosa,Student lunch payments and tracking. PCI-DSS scope.
internet-gateway,Internet Gateway / Firewall (Fortinet),network,10.0.1.2,Server room admin wing,critical,"[""core-switch""]",Tech Jordan,Single internet connection. All cloud services depend on this.
parent-comm,SchoolMessenger (Parent Communication),application,,Cloud hosted,high,"[""internet-gateway""]",VP Martinez,Emergency notifications to parents. SMS email and app push.
backup-server,Backup Server (Synology NAS),server,10.0.1.50,Server room admin wing,medium,"[""core-switch""]",Tech Jordan,Nightly backups of SIS and file shares. 14-day retention.
school-website,School Website (WordPress),application,,Cloud (hosting provider),low,"[""internet-gateway""]",Tech Jordan,Public website. Not mission critical.
